#OTU ID	LauraG1C1S15	LauraG1C2S19	LauraG1C3S23	LauraG1T2S7	LauraG1T3S11	LauraG2C1S16	LauraG2C2S20	LauraG2C3S24	LauraG2T3S12	LauraP1C1S13	LauraP1C2S17	LauraP1C3S21	LauraP1T1S1	LauraP1T2S5	LauraP1T3S9	LauraP2C1S14	LauraP2C2S18	LauraP2C3S22	LauraP2T2S6	LauraP2T3S10
OTU_76	0	0	0	0	9	0	0	0	0	1	0	0	0	0	64	0	0	0	0	0
OTU_130	3	0	0	65	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
OTU_167	0	0	0	0	0	6	1	0	0	34	7	3	5	0	0	0	5	3	7	0
OTU_279	19	7	0	20	0	0	0	0	0	1	0	8	0	6	7	2	0	0	1	0
OTU_80	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_110	0	49	3	1	0	0	7	1	1	0	1	1	0	4	1	0	1	0	0	0
OTU_90	0	0	0	0	5	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0
OTU_163	0	7	0	37	0	0	0	0	2	2	0	0	5	10	0	1	2	0	3	0
OTU_121	0	48	0	0	0	0	0	0	1	8	0	0	0	9	0	0	1	0	1	0
OTU_125	0	0	0	0	1	0	0	0	0	3	1	0	0	11	47	1	0	0	3	1
OTU_134	17	0	0	5	2	0	0	0	0	0	0	0	0	0	43	1	0	0	0	0
OTU_95	0	0	0	0	5	1	0	0	0	0	0	0	0	0	62	0	0	0	0	0
OTU_114	0	0	0	0	5	2	0	0	0	1	0	0	0	0	59	0	0	0	0	0
OTU_254	0	0	0	0	2	1	0	0	0	13	0	0	0	7	16	0	0	0	6	22
OTU_73	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_77	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
OTU_100	0	0	0	0	9	2	0	0	0	1	0	0	0	0	54	0	0	0	0	0
OTU_75	0	0	0	0	0	0	0	0	0	2	0	0	0	64	0	0	0	0	0	0
OTU_115	12	0	0	0	1	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0
OTU_147	10	0	0	0	1	1	0	0	41	5	0	0	0	5	0	2	0	0	0	0
OTU_220	0	1	1	2	2	1	27	0	0	5	0	1	0	16	0	0	0	6	3	0
OTU_126	0	0	0	0	4	0	0	0	0	0	0	0	0	0	58	1	0	0	0	1
OTU_128	0	0	0	49	0	0	0	0	0	0	0	0	3	0	0	0	0	0	12	0
OTU_226	0	22	1	12	1	0	0	8	0	1	0	0	2	0	0	0	0	1	11	5
OTU_194	27	1	0	2	0	2	0	0	0	1	0	0	1	24	0	0	0	0	4	1
OTU_231	0	0	1	3	0	23	0	1	0	22	0	2	0	1	2	7	0	0	1	0
OTU_246	0	1	0	2	0	0	0	0	0	0	0	3	1	25	0	3	0	0	28	0
OTU_123	0	0	0	0	57	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU_178	0	5	1	4	5	0	4	30	0	1	0	0	0	9	0	1	0	0	2	0
OTU_183	3	0	1	0	0	3	0	0	0	4	1	10	0	5	0	0	3	30	2	0
OTU_82	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	2	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_252	6	0	0	0	0	0	0	0	3	13	0	2	2	22	0	3	0	1	8	0
OTU_104	0	0	0	0	0	0	0	0	53	6	0	0	0	0	0	0	0	0	0	0
OTU_127	0	0	0	0	0	0	0	0	49	9	0	0	0	0	0	1	0	0	0	0
OTU_106	0	0	0	0	0	0	0	0	48	7	0	0	0	0	0	3	0	0	0	0
OTU_336	0	5	0	21	1	0	0	0	0	5	2	4	1	0	0	2	3	5	8	0
OTU_151	0	0	0	0	4	2	0	0	0	0	0	0	0	0	37	0	0	0	4	9
OTU_265	0	0	0	11	0	0	0	0	1	1	0	1	0	34	0	1	0	2	5	0
OTU_287	0	5	0	0	0	0	0	16	19	1	0	0	0	13	0	0	0	0	2	0
OTU_467	0	0	1	12	0	0	0	2	0	0	0	1	4	13	1	3	0	8	8	3
OTU_250	3	2	5	20	0	0	0	0	0	4	0	0	0	19	0	0	1	0	1	0
OTU_291	0	26	1	0	1	0	2	0	0	0	1	0	0	8	9	0	0	0	7	0
OTU_148	1	0	0	0	5	1	0	0	0	0	0	0	0	0	47	0	0	0	0	0
OTU_202	0	5	0	0	1	0	0	0	0	26	0	0	0	1	1	2	0	1	0	17
OTU_273	1	0	0	18	0	0	0	0	0	0	0	0	20	0	0	13	0	0	2	0
OTU_328	0	2	1	16	7	1	0	0	0	14	0	0	2	0	0	5	3	1	2	0
OTU_122	2	0	0	47	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_238	18	24	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0
OTU_253	4	0	0	3	3	0	2	0	6	2	0	1	0	0	24	0	3	0	0	5
OTU_191	0	2	2	28	7	0	0	0	0	4	1	2	0	0	0	3	0	0	3	0
OTU_208	0	0	0	0	18	0	0	0	0	25	4	1	0	0	0	4	0	0	0	0
OTU_245	0	0	0	0	0	0	0	0	5	3	0	0	0	21	0	8	0	0	15	0
OTU_416	0	6	2	3	2	0	0	5	1	0	0	2	10	1	0	0	0	13	3	4
OTU_168	0	0	0	0	3	0	0	0	0	0	0	0	0	33	0	0	0	4	11	0
OTU_269	0	1	0	18	0	8	1	3	0	9	1	0	2	0	0	0	6	0	2	0
OTU_105	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_109	48	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_135	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	40	1	0
OTU_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OTU_196	0	0	0	0	1	0	0	0	0	28	0	2	1	1	0	0	0	13	4	0
