#OTU ID	LauraG1C1S15	LauraG1C2S19	LauraG1C3S23	LauraG1T2S7	LauraG1T3S11	LauraG2C1S16	LauraG2C2S20	LauraG2C3S24	LauraG2T3S12	LauraP1C1S13	LauraP1C2S17	LauraP1C3S21	LauraP1T1S1	LauraP1T2S5	LauraP1T3S9	LauraP2C1S14	LauraP2C2S18	LauraP2C3S22	LauraP2T2S6	LauraP2T3S10
OTU_1121	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1122	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1123	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1124	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1125	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1126	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1127	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1128	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1129	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_113	0	36	1	28	11	3	0	3	1	68	1	32	7	32	29	8	2	11	13	32
OTU_1130	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1131	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1132	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1133	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1134	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1135	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1136	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1137	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1138	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1139	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_114	0	0	0	0	5	2	0	0	0	1	0	0	0	0	59	0	0	0	0	0
OTU_1140	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0
OTU_1141	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1142	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1143	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_1144	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1145	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1146	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1147	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
OTU_1148	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1149	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_115	12	0	0	0	1	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0
OTU_1150	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
OTU_1151	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1152	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
OTU_1153	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1154	0	1	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0
OTU_1155	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1156	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1157	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1158	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1159	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_116	1	0	0	0	5	9	0	0	0	0	0	0	0	0	49	0	0	0	0	44
OTU_1160	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1161	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1162	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1163	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0
OTU_1164	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1165	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1166	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
OTU_1167	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1168	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0
OTU_1169	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_117	1	2	0	51	0	0	0	1	0	1	0	1	0	24	0	0	0	10	7	0
OTU_1170	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU_1171	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1172	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1173	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
OTU_1174	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1175	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1176	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1177	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1178	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
OTU_1179	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_118	0	1	1	47	9	0	1	0	1	2	0	2	0	67	0	1	0	1	16	0
OTU_1180	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1181	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1182	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1183	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU_1184	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0
OTU_1185	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1186	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1187	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1188	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1189	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_119	3	3	0	32	0	0	0	0	0	1	0	0	0	53	7	1	4	14	27	1
OTU_1190	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU_1191	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1192	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1193	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0
OTU_1194	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1195	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1196	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1197	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1198	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0
OTU_1199	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU_12	0	559	1	0	0	2	3	1	0	1	3	6	0	9	0	3	14	4	2	0
OTU_120	4	0	0	68	0	0	0	0	4	0	0	6	1	50	0	0	0	0	8	0
OTU_1200	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1201	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU_1202	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1203	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1204	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1205	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
OTU_1206	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1207	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1208	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1209	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0
OTU_121	0	48	0	0	0	0	0	0	1	8	0	0	0	9	0	0	1	0	1	0
OTU_1210	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
OTU_1211	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1212	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_1214	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
OTU_1215	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0
OTU_1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_122	2	0	0	47	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1221	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0
OTU_1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_123	0	0	0	0	57	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU_1230	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
OTU_1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_1234	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
OTU_1235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1237	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	6	0
OTU_1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1239	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_124	0	0	0	0	5	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
OTU_1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1249	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0
OTU_125	0	0	0	0	1	0	0	0	0	3	1	0	0	11	47	1	0	0	3	1
